id,comment,network,billing_price,customer_service,data,service_product,sentiment
125940,munge boru math damma package eka danna kalin 4g active karata passe 3g t enawa yanwa dawas dekak daddi ohomai 3n weni dawase package eka dala payai giye internet sig pennawa use karanna bah passe hotline kata kala un answer kare na paya bagayak ring una passe hawasa baluwa eth wada na aye cl kala hotline 20min wage ring weddi ekiyak answer kala eki melow deyak dannah sir poddak inna kiwwa e kiyala aye awe 20 min gihin a awith aye kiyanawa sir active karala tiyenne 49 one day package eka neda api complained kalalu wada karana 24 hours athulata solution ekak dennam kiwwa mona solution da amulika boruwak yanne meke munge e madiwata power cut unama cl aran hamarai emergency only higana wada mewa minssu rawattala me wage wada karannepa thopita hena gahanwa me wage welawaka anika mala pote akurak bari unwa dagena hotline wala unta me gana api complain kalama unuth complain kalalu kata uttara nati una ekigen me gana ahuwama 24hours wada karana kalekin solution dennam kiwwa passe balinnam munge 24 atulata tiya dawas ganak tisse arcade closed eki kiwwa paya 24 enne unge wada patan gattu dawasaka mona jokes da mewwa man ahuwe etakam api inna oneda internet yanna kiyala ekita kata uttara na man ahapu hama detama uttara na lajjawata kata piyan idala idala supervisor kenekta kata karanna sir kiwwa etakam karanna deyak nahlu onna okai tattwe superviser newei company aiti karaya unath customer ta wada pahalin inna one kiyala mun dannah un kawruth yapenne api nisai e nisa apita un loku na untai apiwa loku wenna one because we costumers companyaka ownertath wada usas post eka costumer kiyala  tamunlage companye wada karana modainta kiya dihalla higana wada karannepa oya wage,0,0,1,0,0,0
61803,  night time inne it8n a tika day time pawichci karanna bari hindane night time day time mokatada anytime dunnanam iwarane okkoma ehema deela bane neda balanne puluwan tharam gb usage eka adu karannane customer ge anytime iwara unaama aaye itin oona nam amathara gewala ganna oona neh night time data gb ganan tiyaagenath ewa day time use karanna oyala denne nathi nisa amathara ganan gewala anytime data gannawa wena karanna deyak nathi nisa 1400i kiyala 60gb denawalune api 1400k deela ganna 60 gb apita oona welawata pawichchi karanna bane itin ehema baluwama 1400ta itin 30gb thama puluwan nam mage night time data tika anytime hari daytime ekata hari maru karala denna nattan night kiyana ekata hari therumak denna oyala kiyana night time ekata set wenne paya 8 neh ai eeka denna bari hawasa 6 idan pahuwada ude 6 wenakan eekane night kiyanne ra 12 idan dennne users la a welawata adu hindane eeta passe itin aaye gewala ganna oona deyak tiyenna oona eeka a minihata oona welawatane patta ra 12 idan ude 8 wenakan da night kiyanne mokatada a welawata anagathya adai kiwwata itin 1400ta dena 60gb customer ta oona welawata pawichchi karannawath nane itin kohomada anaagataya ada wenne ehema sampurna gb gaana 1400ta api use karai kiyalane eeka denne natte anytime ekatama amathara salli deela gb ganan ganne natgiwei kiyala bayatane anagataya adai itin pqwichcu karanneth dialig4g hbb a unata itin,0,0,0,1,0,0
119676,me fb wts app package eke thiyena prasne thamai additionally data kapena eka videos 10 k witr bluwoth 4 mb wage podi pramanayak kapenw kapena pramanaya podii thamai eeth knk me package eka activate krnne fb wts app witrk wage use krnn nm additionally data pack ekk activate krnne naane ithin dnnema nathiwa creditwalin eeka kapeegena gihilla data card ekk activate wela thiyeddi 4mb wage gaank kapunata creditwalin eeka kapeddi eeta wadaa awaasi bawa oni knkut therenwne ithin me widiye gataluwak thiyena knk rs 107 package ekk daala 30 days walata valid wena widiyt data pack ekkuth activate krnne oni maasetama 200 mb witr ooken kapuna kiyamuko ethakota u tube insta hari gihilla data card eka iwr kle nattam data card eke daapu data tika aparaade oylt option 2 k thiyenw 1 ekko oya fb wts app free package eke gaana poddk wadi krl hari additionally data oni nathi widyt plan krnn 2 nttm 30 days validity thiyena widyt anytime 300mb wage mini size data plans tikak hari denna ethakota 107 mini size pack ekkin maaseka data tika balance krgnn puluwm mn dnnw me kiyn kiyn widyt oylt practically krnn ba kiyl bt data packages introduce klt wadak naane customer knk apahasuthaweta path wenw nm,0,0,0,1,0,0
35329,aurudu 3kta kalin mma  4g ekak gththe passe  eke network upgrade ekak nisa mn inna coverage ekata sig nathi una ehema kiuwe  ekenmai ita passe mma  autdoor ekak requeste karala eka gththa me aurudde may mma danna widihata outdoor ekak dankota sig strenth check krla blala thma danne e unata apu technician mgen ahuwa 4g ekata kothtda sig tibbe kiyla eya ethtma udin wahale bithtthiyen outdoor eka ghuwa mn dnne na ai kiyla ektath sig nathi nisa mma aphu complaine ekak danna  ekata call kla customer care patta kochchra hodaida kiynwanm mge 4n bila 800 panala tibba aphu apu kenath ethnama outdoof antana eka krakwa karakawa idala blala giya eth sig nathi nisa aphu complaine ekak dala katha krla bohoma amaruwen technician kenk awith antana ekak wahle udin dala giya e uath dn daws 4ka idan 4g ekata sig aththema na mma call klama  sig antana is wala interference ekak kiyla technical eken kiuwa interference ekak tibbnm eka resolve krnna daws 4k ynwada mma dapu complaine eka mge ahnneth nathuwa closed krla tibba aphu call krla aluth complain ekak dammath thma feedback ekak labune na mata,1,0,1,0,0,0
194223,meegama pradeshayata signal eka  wala meloma rahak na  walata super signal thiyenawa  sri lanka 072 signal 3g more powerfully diyaw diyaw cliq app data wadi karalath ona nodakin issara awurudu 3kata hatharakata kalin thibba ishion lanka pvt ltd da me tikak withara loba wela issara  mata pennanna baha  072 wunata passe thamai sim eka pawichchi krnna gaththe  wage signal diyaw towers 15 k withara thawa wadikarala gambada pradesha walata a tower laba deela aka gamata  tower ekai  tower ekai deela a deka merge karanna anthima niwedanayai 072 signal dunnathuwunoth  use karana siyallo ekwa durakathana sandesha widulibala ayathanaye niladarin samaga obe ayathanaya watalanabawa danwa sitimi apita 4g apa  072 3g 2g speed karala denna  mama awurudu 4k thisse  pawichchi ogollo me awurudde thamai paribogikayan kiyana de noasana ayathanayak wela thiyenne  072 078 coustermor care eka akkak karapiyaw mona wadayakda numbers dekakata ganna giyama 1788 witharak karala option 1 2 nathuwa directly  paribogika sewa niladariyek laba dena men illa sitimi cliq package eke gana thawa 100 ta 20 withara adukaranna,1,0,1,0,1,0
158213, plc customer service eka hariyata hadaganna minnissu ethakota nikamma reccomend karai kappam deela sales karanna try karanna epa ape gedara voice connection eke cdma pohone eka maaru karala ammiwa maasa 1 1 2 rastiyadu kara kcc eke manager ta gihin amma thaththawa matak karala kee gehuwahama peya 1 2n wede karala dunna inna ekekwath responsibility ekak ganne nehe service eke aya kiyanawa manager gen ahanna kiyala manager kiyanawa mahathayo apith me seat eke hitiyata me deewal walata apita karanna deyak nehe kiyala iwasala iwasala berima tena ehuwa ehenam bambuwatada aiyse oya seat eke inne ooka podi eketa deela yanna kiyala onna ein passe katha ne sadda wahala oya karanna be kiuwwa wede sutus gaala karala dunna tarahatath ekka ape hotel dekaka tibba  lines dekak disconnect karala  gatta unge gaana wedi unath 24hours walin prashna settle karanawa inne 65penapu naaki hutan newei katha karala kiuwahama kiyana dee terum gannawa ithin kiyanna tiyenne kappam denne netiwa karana de hariyata karanna kiyana ekai ethakota sales automatically hedei meuwa kiyanne hedenna,0,0,1,0,0,0
123448, boru krnne epa ykune mata dn sathi 3kta kalin gift data hambuna 800mb anytime 1248 night time ewa mata use krnne dunne na anthimata mn complain ekakuth dmma eke screenshot okkoma ohelage viber number ekatath ewwa ewath balala kisima reply ekak na anthimata customer care ekatath call kla 2 prk eken details illuwa witharai ewath okkoma dunna thama data use krnne ba brouwata thamange nama pumbala loketa pennagena inne me wage sim company wala aththa thathwe thama oka thama mata mage data use krnne denne na meka dakina hama ekama  kiyna me jara sim eka ain krla wena ekakata maru weyn mata apu msg okkoma screenshot okkoma thiyanwa eth me post ekata ewa dnne denne na meka boruwak kiynawa nm ona ekek inbox wren mn ubalata msg okkoma screenshot tika pennanm me wage boru dna sim company wla page okkoma report krpalla,0,0,1,1,0,0
137747,oyalata puluwani nam package ekaka hadanna aluthin masetama rs 700 ta anytime 25 k ho 20 ta aniwaryenma man digatama mas patha use karanawa anith eka mage yaluwoth man add karanawa oyalata danata man  use karanawa ape paule hamoma danata  use katanawa wifelage paththe ayatath man  walata maru kara  ewath use karanawa uwamana nam e nus denna unath puluwani oyalata puluwani nam ehema package ekek hdanna habi eka prepaid nam thamai godakma watinnem mata data walata witharakma use karanna mage unlock router ekkata dala use karanna ganna puluwani nam kiyanna man aniwaryenma gannawa puluwani nam kiyanna habi eka 3g only karanna epa parsna wadi ekai coverage madi nisa use karanna amarui eka 4g 3g auto wada wena widiyata hadanna puluwani nam godak watinawa man hithanne oyalatath ekata mas patha godak aya asd wewi thanks please reply to me,1,0,0,0,0,1
62695, eken d to d 500 minutes free calls dunna 2 gb free data dunna night time data reduce karala e reduce karapu tika day time ekata add kara  eken monawada kare mama inne akurana area eke akurana area eka fully lock down e kiyanne fully sealed hamuda palanayakata yatathwa thiyenne kisima kadeta reload cards ganna naha  eken dena loan eka gaththa free data ganna request karanakota loan eka settle karala rs 8 aduwen account eke thibunothlu free data pack eka denne mama awurudu 15 wediya  use karanawa e kiyanne awurudu 15 wediya  ekata kamburanawa ratama asthawara wela minissu asarana wela inna welawe sahanayak denna barinam mokadda athi wade pvt telecommunication company walin customerslata labadena sahanaya govt semi govt walin nokaranne manda kohoma wunath quarantine eken passe mage  connection eka pilibandawa mama theeranayak gannawa deiyange pihitai,0,0,0,1,0,0
175597,wadak na aurudu ganam ubala ekka api idala me wage welawaka salli nathi welawaka kadekta yanna bari welawk cd ekak daganna thanak nathi welawaka sathiyak hari fb hari free denna bari ai bn ubala kawadawth mb 10k wath free dila thiyenawada lankawe wadi hariyak  pawichi karanawa eth free rs 1k denawada minissu hira wela inna welawe ubala apita udaw karanne nathnam wadak na bn api cd dada ubalta udaw karaddi me wage welawaka apita ubalagen udawwak nathnam wadak namarenna giyath ubala balanne apen kada ganna anith hama sim wargayakma free data witharak neme sms hitan denawa ubala monawad denne me pkg eka atv kara ganna kiyala pos danawa ane bn wadak na nikan inna epa mchn hamoma  pawichi karana hamoma illapan data dakina hama ekatama kiyanne denna banam page ekatat kelawalama damu okkama ekathu wela illapanla,0,1,0,1,0,0
